object_type,source_catalog,source_id,scientific_name,host_object_id,host_name,ra_deg,dec_deg,distance_ly,apparent_magnitude,radius_earth,mass_earth,orbital_period_days,equilibrium_temperature_k,discovery_year,discovery_method,discovery_reference,visual_seed,visual_category,source_updated_at,raw_data
planet,NASA_EXOPLANET_ARCHIVE,GJ 674 b,GJ 674 b,0395986a-1498-4ff2-b1b7-d41442e38e4a,GJ 674,262.1700476,-46.8989826,14.836706,,3.33,,4.6938,531,2007,Radial Velocity, Bonfils et al. 2007 ,1104009695,rocky,2026-09-18T14:51:26.782Z,"{""pl_name"":""GJ 674 b"",""hostname"":""GJ 674"",""gaia_dr3_id"":""Gaia DR3 5951824121022278144"",""ra"":262.1700476,""dec"":-46.8989826,""sy_dist"":4.54896,""sy_gaiamag"":8.33063,""pl_rade"":3.33,""pl_radelim"":0,""pl_bmasse"":11.09,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":4.6938,""pl_orbperlim"":0,""pl_orbsmax"":0.039,""pl_eqt"":530.8,""pl_eqtlim"":0,""disc_year"":2007,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""5951824121022278144"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 69830 c,HD 69830 c,e2a14915-004a-411c-be6e-989717867a4f,HD 69830,124.6010091,-12.6364246,40.962258,,3.46,,31.56,567,2006,Radial Velocity, Lovis et al. 2006 ,1121289884,rocky,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 69830 c"",""hostname"":""HD 69830"",""gaia_dr3_id"":""Gaia DR3 5726982995343100928"",""ra"":124.6010091,""dec"":-12.6364246,""sy_dist"":12.5591,""sy_gaiamag"":5.75392,""pl_rade"":3.46,""pl_radelim"":0,""pl_bmasse"":11.8,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":31.56,""pl_orbperlim"":0,""pl_orbsmax"":0.186,""pl_eqt"":567.04,""pl_eqtlim"":0,""disc_year"":2006,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=LOVIS_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.441..305L/abstract target=ref> Lovis et al. 2006 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""5726982995343100928"",""orbit_order"":2,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,GJ 3021 b,GJ 3021 b,c9e98e0b-e421-48b9-a896-ec9963ee1a62,GJ 3021,4.0634323,-79.8514218,57.259621,,13.1,,133.71,350,2000,Radial Velocity, Naef et al. 2001 ,762840933,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""GJ 3021 b"",""hostname"":""GJ 3021"",""gaia_dr3_id"":""Gaia DR3 4634528720388462592"",""ra"":4.0634323,""dec"":-79.8514218,""sy_dist"":17.5559,""sy_gaiamag"":6.39729,""pl_rade"":13.1,""pl_radelim"":0,""pl_bmasse"":1071.04,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":133.71,""pl_orbperlim"":0,""pl_orbsmax"":0.49,""pl_eqt"":350,""pl_eqtlim"":0,""disc_year"":2000,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""4634528720388462592"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 221287 b,HD 221287 b,23282944-c06b-4522-944f-8dc6c08867d2,HD 221287,352.836223,-58.209754,182.396546,,13.1,,456.1,290,2007,Radial Velocity, Naef et al. 2007 ,1452514636,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 221287 b"",""hostname"":""HD 221287"",""gaia_dr3_id"":""Gaia DR3 6489603813690967808"",""ra"":352.836223,""dec"":-58.209754,""sy_dist"":55.9231,""sy_gaiamag"":7.68153,""pl_rade"":13.1,""pl_radelim"":0,""pl_bmasse"":982.05,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":456.1,""pl_orbperlim"":0,""pl_orbsmax"":1.25,""pl_eqt"":290.13,""pl_eqtlim"":0,""disc_year"":2007,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=NAEF_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...470..721N/abstract target=ref> Naef et al. 2007 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""6489603813690967808"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 107148 b,HD 107148 b,d4413e2c-5d8d-4fc7-b2a1-c237becc11d7,HD 107148,184.8059773,-3.3199927,161.171944,,9.6,,48.056,583,2005,Radial Velocity, Butler et al. 2006 ,1826476584,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 107148 b"",""hostname"":""HD 107148"",""gaia_dr3_id"":""Gaia DR3 3693358861640279296"",""ra"":184.8059773,""dec"":-3.3199927,""sy_dist"":49.4156,""sy_gaiamag"":7.85111,""pl_rade"":9.6,""pl_radelim"":0,""pl_bmasse"":66.741,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":48.056,""pl_orbperlim"":0,""pl_orbsmax"":0.269,""pl_eqt"":582.78,""pl_eqtlim"":0,""disc_year"":2005,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""3693358861640279296"",""orbit_order"":2,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 179949 b,HD 179949 b,f13df77f-ba56-4f03-a002-022527ac3252,HD 179949,288.8890182,-24.1797939,89.553631,,13.9,,3.092514,1591,2000,Radial Velocity, Tinney et al. 2001 ,1205219825,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 179949 b"",""hostname"":""HD 179949"",""gaia_dr3_id"":""Gaia DR3 6770313530317154560"",""ra"":288.8890182,""dec"":-24.1797939,""sy_dist"":27.4573,""sy_gaiamag"":6.1106,""pl_rade"":13.9,""pl_radelim"":0,""pl_bmasse"":291.12,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":3.092514,""pl_orbperlim"":0,""pl_orbsmax"":0.0443,""pl_eqt"":1590.53,""pl_eqtlim"":0,""disc_year"":2000,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=TINNEY_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...551..507T/abstract target=ref> Tinney et al. 2001 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""6770313530317154560"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 27442 b,HD 27442 b,7d9d6372-22fb-46a0-928a-b687ccd21fa1,HD 27442,64.1205476,-59.3028771,59.590006,,13.5,,428.1,370,2000,Radial Velocity, Butler et al. 2001 ,1706245125,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 27442 b"",""hostname"":""HD 27442"",""gaia_dr3_id"":""Gaia DR3 4678664766393829504"",""ra"":64.1205476,""dec"":-59.3028771,""sy_dist"":18.2704,""sy_gaiamag"":4.14532,""pl_rade"":13.5,""pl_radelim"":0,""pl_bmasse"":495.8,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":428.1,""pl_orbperlim"":0,""pl_orbsmax"":1.271,""pl_eqt"":369.62,""pl_eqtlim"":0,""disc_year"":2000,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=BUTLER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...555..410B/abstract target=ref> Butler et al. 2001 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""4678664766393829504"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 46375 b,HD 46375 b,686b1069-35c8-412b-896c-8d394ff7b81c,HD 46375,98.3030763,5.4625071,96.388557,,10,,3.023573,1221,2000,Radial Velocity, Marcy et al. 2000 ,285771324,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 46375 b"",""hostname"":""HD 46375"",""gaia_dr3_id"":""Gaia DR3 3131777319158581376"",""ra"":98.3030763,""dec"":5.4625071,""sy_dist"":29.5529,""sy_gaiamag"":7.69533,""pl_rade"":10,""pl_radelim"":0,""pl_bmasse"":71.8,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":3.023573,""pl_orbperlim"":0,""pl_orbsmax"":0.0398,""pl_eqt"":1221.4,""pl_eqtlim"":0,""disc_year"":2000,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=MARCY_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...536L..43M/abstract target=ref> Marcy et al. 2000 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""3131777319158581376"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 109749 b,HD 109749 b,535c1195-f0d3-41ad-ba3d-da84718d05f9,HD 109749,189.3173489,-40.8121458,205.746054,,11.1,,5.239891,1251,2005,Radial Velocity, Fischer et al. 2006 ,1243007484,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 109749 b"",""hostname"":""HD 109749"",""gaia_dr3_id"":""Gaia DR3 6147000074988843264"",""ra"":189.3173489,""dec"":-40.8121458,""sy_dist"":63.0821,""sy_gaiamag"":8.02456,""pl_rade"":11.1,""pl_radelim"":0,""pl_bmasse"":85.8141,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":5.239891,""pl_orbperlim"":0,""pl_orbsmax"":0.0615,""pl_eqt"":1250.83,""pl_eqtlim"":0,""disc_year"":2005,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=FISCHER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...637.1094F/abstract target=ref> Fischer et al. 2006 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""6147000074988843264"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 149143 b,HD 149143 b,9da050c8-52b0-4215-aa20-f0c4dd587769,HD 149143,248.2126715,2.0844547,239.007443,,13.6,,4.07182,1472,2005,Radial Velocity, da Silva et al. 2006 ,1706566052,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 149143 b"",""hostname"":""HD 149143"",""gaia_dr3_id"":""Gaia DR3 4432401099808805888"",""ra"":248.2126715,""dec"":2.0844547,""sy_dist"":73.2801,""sy_gaiamag"":7.74081,""pl_rade"":13.6,""pl_radelim"":0,""pl_bmasse"":422.7139,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":4.07182,""pl_orbperlim"":0,""pl_orbsmax"":0.053,""pl_eqt"":1471.9,""pl_eqtlim"":0,""disc_year"":2005,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=DA_SILVA_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006A&A...446..717D/abstract target=ref> da Silva et al. 2006 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""4432401099808805888"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 224693 b,HD 224693 b,a23b00c7-fdfd-4d99-adba-2b7598e07437,HD 224693,359.9749837,-22.4279999,304.960752,,14,,26.6904,903,2006,Radial Velocity, Johnson et al. 2006 ,324709923,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 224693 b"",""hostname"":""HD 224693"",""gaia_dr3_id"":""Gaia DR3 2340155679036275200"",""ra"":359.9749837,""dec"":-22.4279999,""sy_dist"":93.5015,""sy_gaiamag"":8.08528,""pl_rade"":14,""pl_radelim"":0,""pl_bmasse"":222.481,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":26.6904,""pl_orbperlim"":0,""pl_orbsmax"":0.191,""pl_eqt"":903.45,""pl_eqtlim"":0,""disc_year"":2006,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=JOHNSON_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...647..600J/abstract target=ref> Johnson et al. 2006 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""2340155679036275200"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HIP 14810 b,HIP 14810 b,f6bb6d20-917a-4d45-b262-a8234842366d,HIP 14810,47.809275,21.0971302,164.643549,,13,,6.673892,1048,2005,Radial Velocity, Butler et al. 2006 ,938196298,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HIP 14810 b"",""hostname"":""HIP 14810"",""gaia_dr3_id"":""Gaia DR3 60684353135617792"",""ra"":47.809275,""dec"":21.0971302,""sy_dist"":50.48,""sy_gaiamag"":8.33307,""pl_rade"":13,""pl_radelim"":0,""pl_bmasse"":1239.537,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":6.673892,""pl_orbperlim"":0,""pl_orbsmax"":0.0696,""pl_eqt"":1048.2,""pl_eqtlim"":0,""disc_year"":2005,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""60684353135617792"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HIP 14810 d,HIP 14810 d,f6bb6d20-917a-4d45-b262-a8234842366d,HIP 14810,47.809275,21.0971302,164.643549,,14.1,,981.8,199,2009,Radial Velocity, Wright et al. 2009 ,837530584,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HIP 14810 d"",""hostname"":""HIP 14810"",""gaia_dr3_id"":""Gaia DR3 60684353135617792"",""ra"":47.809275,""dec"":21.0971302,""sy_dist"":50.48,""sy_gaiamag"":8.33307,""pl_rade"":14.1,""pl_radelim"":0,""pl_bmasse"":187.5197,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":981.8,""pl_orbperlim"":0,""pl_orbsmax"":1.94,""pl_eqt"":198.54,""pl_eqtlim"":0,""disc_year"":2009,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...699L..97W/abstract target=ref> Wright et al. 2009 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""60684353135617792"",""orbit_order"":3,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 207832 b,HD 207832 b,b0f3aeef-7cb2-4395-b7fe-b2ac3043fa84,HD 207832,328.1517893,-26.0271749,192.200795,,14.2,,160.07,340,2012,Radial Velocity, Haghighipour et al. 2012 ,1636317821,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 207832 b"",""hostname"":""HD 207832"",""gaia_dr3_id"":""Gaia DR3 6812056381881853056"",""ra"":328.1517893,""dec"":-26.0271749,""sy_dist"":58.9291,""sy_gaiamag"":8.61176,""pl_rade"":14.2,""pl_radelim"":0,""pl_bmasse"":177.9848,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":160.07,""pl_orbperlim"":0,""pl_orbsmax"":0.586,""pl_eqt"":340.28,""pl_eqtlim"":0,""disc_year"":2012,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=HAGHIGHIPOUR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...91H/abstract target=ref> Haghighipour et al. 2012 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""6812056381881853056"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 37605 c,HD 37605 c,b8483a6a-25d2-415b-b059-8d935ec2eae2,HD 37605,85.0074276,6.0595116,152.596651,,13.1,,2720,127,2012,Radial Velocity, Wang et al. 2012 ,1644087551,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 37605 c"",""hostname"":""HD 37605"",""gaia_dr3_id"":""Gaia DR3 3332911492327546368"",""ra"":85.0074276,""dec"":6.0595116,""sy_dist"":46.7864,""sy_gaiamag"":8.46192,""pl_rade"":13.1,""pl_radelim"":0,""pl_bmasse"":1013.8777,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":2720,""pl_orbperlim"":0,""pl_orbsmax"":3.74,""pl_eqt"":126.75,""pl_eqtlim"":0,""disc_year"":2012,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=WANG_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...761...46W/abstract target=ref> Wang et al. 2012 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""3332911492327546368"",""orbit_order"":2,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 1605 c,HD 1605 c,4c6ddefe-34a6-4dc5-994d-29f45b20a349,HD 1605,5.1317548,30.9750611,289.641857,,13,,2149,234,2015,Radial Velocity,Harakawa et al. 2015,223519410,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 1605 c"",""hostname"":""HD 1605"",""gaia_dr3_id"":""Gaia DR3 2862328869351558272"",""ra"":5.1317548,""dec"":30.9750611,""sy_dist"":88.8047,""sy_gaiamag"":7.25688,""pl_rade"":13,""pl_radelim"":0,""pl_bmasse"":1150.5446,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":2149,""pl_orbperlim"":0,""pl_orbsmax"":3.584,""pl_eqt"":233.88,""pl_eqtlim"":0,""disc_year"":2015,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=HARAKAWA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806....5H/abstract target=ref>Harakawa et al. 2015</a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""2862328869351558272"",""orbit_order"":2,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 148164 c,HD 148164 c,f75f8777-e76c-4516-b083-85d1287bc58b,HD 148164,246.4351678,11.9190729,251.782973,,12.8,,5062,136,2018,Radial Velocity,Ment et al. 2018,1241986663,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 148164 c"",""hostname"":""HD 148164"",""gaia_dr3_id"":""Gaia DR3 4459907547841472128"",""ra"":246.4351678,""dec"":11.9190729,""sy_dist"":77.1971,""sy_gaiamag"":8.0907,""pl_rade"":12.8,""pl_radelim"":0,""pl_bmasse"":1640.0028,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":5062,""pl_orbperlim"":0,""pl_orbsmax"":6.15,""pl_eqt"":135.77,""pl_eqtlim"":0,""disc_year"":2018,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""4459907547841472128"",""orbit_order"":2,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 211810 b,HD 211810 b,7e6b79c6-eaf9-437d-a2cc-af7831eec735,HD 211810,334.5286724,61.1349912,210.811909,,14,,1558,178,2018,Radial Velocity,Ment et al. 2018,1209712152,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 211810 b"",""hostname"":""HD 211810"",""gaia_dr3_id"":""Gaia DR3 2201556328489610752"",""ra"":334.5286724,""dec"":61.1349912,""sy_dist"":64.6353,""sy_gaiamag"":8.417831,""pl_rade"":14,""pl_radelim"":0,""pl_bmasse"":212.9461,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":1558,""pl_orbperlim"":0,""pl_orbsmax"":2.656,""pl_eqt"":177.77,""pl_eqtlim"":0,""disc_year"":2018,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""2201556328489610752"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
planet,NASA_EXOPLANET_ARCHIVE,HD 221416 b,HD 221416 b,121ff749-5123-4e71-990e-e9da0d70bb25,HD 221416,353.0331863,-21.8012007,311.636513,,9.17,60.5,14.2767,1315,2019,Transit,Huber et al. 2019,1392597796,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 221416 b"",""hostname"":""HD 221416"",""gaia_dr3_id"":""Gaia DR3 2388463203438164096"",""ra"":353.0331863,""dec"":-21.8012007,""sy_dist"":95.5483,""sy_gaiamag"":7.90776,""pl_rade"":9.17,""pl_radelim"":0,""pl_bmasse"":60.5,""pl_bmasselim"":0,""pl_bmassprov"":""Mass"",""pl_orbper"":14.2767,""pl_orbperlim"":0,""pl_orbsmax"":0.1228,""pl_eqt"":1314.67,""pl_eqtlim"":0,""disc_year"":2019,""discoverymethod"":""Transit"",""disc_refname"":""<a refstr=HUBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..245H/abstract target=ref>Huber et al. 2019</a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""2388463203438164096"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":false}"
planet,NASA_EXOPLANET_ARCHIVE,HD 16417 b,HD 16417 b,794fcdcd-bb93-44d0-a3c5-613132f47873,HD 16417,39.2441029,-34.5790905,82.82275,,5,,17.24,964,2008,Radial Velocity, O'Toole et al. 2009 ,454110078,gas,2026-09-18T14:51:26.782Z,"{""pl_name"":""HD 16417 b"",""hostname"":""HD 16417"",""gaia_dr3_id"":""Gaia DR3 5062172841616745856"",""ra"":39.2441029,""dec"":-34.5790905,""sy_dist"":25.3936,""sy_gaiamag"":5.61319,""pl_rade"":5,""pl_radelim"":0,""pl_bmasse"":22.1,""pl_bmasselim"":0,""pl_bmassprov"":""Msini"",""pl_orbper"":17.24,""pl_orbperlim"":0,""pl_orbsmax"":0.14,""pl_eqt"":964,""pl_eqtlim"":0,""disc_year"":2008,""discoverymethod"":""Radial Velocity"",""disc_refname"":""<a refstr=O_TOOLE_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...697.1263O/abstract target=ref> O'Toole et al. 2009 </a>"",""import_batch"":""astralys_nasa_confirmed_planets_20260918"",""discovery_status"":""confirmed"",""table"":""pscomppars"",""gaia_host_source_id"":""5062172841616745856"",""orbit_order"":1,""retrieved_at"":""2026-09-18T14:51:26.782Z"",""sky_position_kind"":""host_system_direction"",""visual_is_interpretation"":true,""best_mass_is_minimum"":true}"
